RGD symbol	NCBI gene ID	Gene Synonym
LOC100910526	171072	sultK1
Sult1c2	171072	MGC112625
Sult1c2	171072	MGC124969
Sult1c2	171072	ST1C2
Sult1c2	171072	sultK1
Lancl1	114515	GPR69A
Lancl1	114515	MGC93999
Lancl1	114515	p40
		
Phf1	294287	MGC94975
Phf1	294287	Tctex3
Ccdc83	680270	LOC680270
Tmem130	304280	LOC304280
Rab24	361208	Mad3
Rab24	361208	Myx
Mxd3	361208	Mad3
Mxd3	361208	Myx
Rab24	252915	Mad3
Rab24	252915	Myx
Mxd3	252915	Mad3
Mxd3	252915	Myx
Grm8	60590	Glur8
Grm8	60590	Gprc1h
Grm8	60590	mGlur
Grm8	60590	Mglur8
Grm8	60590	mGluR8b
Gpr180	306165	MGC94555
Prelid1	290995	LOC290995
Prelid1	290995	MGC109157
Prelid1	290995	RGD1308082
		
Tnn	304913	LOC304913
		
Cnksr3	308113	CNK3
Cnksr3	308113	LOC308113
Cnksr3	308113	Magi1
Cnksr3	308113	Prp4
Cphx1	502042	Cphx
Cphx1	502042	LOC502042
Cphx1	502042	RGD1565219
Muc13	207126	LOC102551136
Muc13	207126	LOC207126
Muc13	207126	Ly64
Muc13	207126	Muc-123
Muc13	207126	MUC-13
		
		
Serpina7	81806	Tbg
RGD1559960	501084	LOC501084
Gnl1	309593	
Neurl1	309459	LOC309459
Neurl1	309459	Neurl1a
Yipf6	363476	MGC116126
Tmem254	290529	Fam213a
Tmem254	290529	LOC290529
Tmem254	290529	MGC105674
Tmem254	290529	RGD1305689
Abcg3l1	289453	Abcg3
Abcg3l1	289453	MGC114213
Cldn2	300920	LOC300920
Cldn2	300920	RGD1560247
Rmdn2	313840	Fam82a
Rmdn2	313840	Fam82a1
Rmdn2	313840	LOC313840
Rmdn2	313840	MGC116304
Rmdn2	313840	RMD-2
	294789	
		
		
Adgre4	450235	Adgre4p
Adgre4	450235	Emr4
Adgre4	450235	Emr4p
Arl5a	117050	Arl5
		
Gsto1	114846	GSTO 1-1
Gsto1	114846	GSTO-1
Gsto1	114846	MGC94845
Gsto1	114846	SPG-R
Smco1	100911042	LOC498096
Smco1	100911042	RGD1562500
LOC100911042	100911042	LOC498096
LOC100911042	100911042	RGD1562500
Smco1	498096	LOC498096
Smco1	498096	RGD1562500
LOC100911042	498096	LOC498096
LOC100911042	498096	RGD1562500
Zfp800	500057	LOC500057
Zfp800	500057	RGD1560157
Gsto2	309465	GSTO 2-2
Gsto2	309465	GSTO-2
Gsto2	309465	LOC309465
LOC103690044	309465	GSTO 2-2
LOC103690044	309465	GSTO-2
LOC103690044	309465	LOC309465
Mgat3	29582	
Usp20	311856	LOC311856
Art2b	293152	Ag-F
Art2b	293152	Art2
Art2b	293152	ART2a
Art2b	293152	ARTC2
Art2b	293152	Ly-2
Art2b	293152	LY2
Art2b	293152	MGC116041
Art2b	293152	PtaA
Art2b	293152	Rt6
Art2b	293152	RT6.1
Art2b	293152	RT6.2
Cluh	303300	LOC303300
Cluh	303300	RGD1307222
Morc4	315914	LOC315914
Morc4	315914	RGD1559905
MGC95208	304176	
		
	450227	
Plac9	361105	LOC361105
Upf3a	361176	LOC361176
Gjc1	266706	Cx45
Gjc1	266706	Gja7
		
Cuta	294288	CutA1
Cldn10	290485	LOC290485
LOC102554813		
Gtf2i	353256	Gtf2ird1
Gtf2i	353256	GTFII-I
Gtf2i	353256	MGC94055
Gtf2i	353256	TFII-I
		
Gbe1		LOC288333
Nptx2	288475	LOC288475
Nptx2	288475	Narp
Nptx2	288475	NP-II
Nptx2	288475	NP2
Trim31	294208	LOC294208
Trim31	294208	Trim31l
Mief1	315141	MGC94326
Mief1	315141	Smcr7l
Sema4d	306790	LOC306790
Gnb1l	680266	LOC680266
		
Nadk2	365699	LOC365699
Nadk2	365699	MGC125061
Nadk2	365699	Nadkd1
Nadk2	365699	RGD1306809
Anxa11	290527	LOC290527
		
Stard8	312113	LOC312113
Stard8	312113	RGD1560770
Alg13	300284	
LOC108349244	300284	
		
Barx1	364680	LOC364680
		
		
		
		
LOC680885	680885	C10orf53
		
		
Mrps14	289143	LOC289143
LOC103690017	103690017	
LOC103690017	311118	
Ncl	25135	MGC93572
		
		
Cfap58	102553148	Ccdc147
Cfap58	102553148	LOC309467
Cfap58	102553148	RGD1307961
Cfap58	102553148	Cfap58
Cfap58	102553148	LOC102553148
Cfap58l1	102553148	Ccdc147
Cfap58l1	102553148	LOC309467
Cfap58l1	102553148	RGD1307961
Cfap58l1	102553148	Cfap58
Cfap58l1	102553148	LOC102553148
Pifo	691223	LOC691223
		
Robo2	84409	
		
Cps1	497840	cps
Cps1	497840	cps-1
		
Arid1b	282546	6A3-5
Arid1b	282546	LOC308086
Arid1b	282546	smcf-1
Arid1b	282546	Smcf1
		
Syngap1	192117	
Spp1	25353	LOC100359743
Spp1	25353	OSP
Spp1	25353	SPP-1
Inppl1	65038	INPPL-1
Inppl1	65038	SHIP-2
Inppl1	65038	Ship2
LOC103689943	103689943	
Cyp1b1	25426	CYPIB1
		
Trim40	365528	Rnf35
		
		
Higd1b	287738	LOC287738
Higd1b	287738	RGD1306907
Unc5cl	301225	
Igsf10	310448	CMF608
Igsf10	310448	LOC310448
		
Gsto2	103690044	GSTO 2-2
Gsto2	103690044	GSTO-2
Gsto2	103690044	LOC309465
LOC103690044	103690044	GSTO 2-2
LOC103690044	103690044	GSTO-2
LOC103690044	103690044	LOC309465
Gsto2	309465	GSTO 2-2
Gsto2	309465	GSTO-2
Gsto2	309465	LOC309465
LOC103690044	309465	GSTO 2-2
LOC103690044	309465	GSTO-2
LOC103690044	309465	LOC309465
Atf4	79255	rATF-4
Dzip1	364475	LOC364475
Itprip	100912218	LOC100912218
Chat	290567	LOC290567
	363460	
Efnb1	25186	EFL-3
Efnb1	25186	ELK-L
Efnb1	25186	LERK-2
Efnb1	25186	LERK2
Slc18a3	60422	rVAT
Slc18a3	60422	VACht
		
Cfap58	309467	Ccdc147
Cfap58	309467	LOC309467
Cfap58	309467	RGD1307961
Cfap58	309467	Cfap58
Cfap58	309467	LOC102553148
Cfap58l1	309467	Ccdc147
Cfap58l1	309467	LOC309467
Cfap58l1	309467	RGD1307961
Cfap58l1	309467	Cfap58
Cfap58l1	309467	LOC102553148
Tmco3	103693999	LOC306607
Tmco3	103693999	RGD1306586
LOC103693999	103693999	LOC306607
LOC103693999	103693999	RGD1306586
Tmco3	306607	LOC306607
Tmco3	306607	RGD1306586
LOC103693999	306607	LOC306607
LOC103693999	306607	RGD1306586
Fnbp1	192348	LOC102555088
Fnbp1	192348	Rnd2
Mxi1	25701	LOC100360467
Mxi1	25701	LOC100360898
Mxi1	25701	MXI-WR
Cep41	500069	MGC112886
Cep41	500069	Tsga14
Gdf6	252834	BMP-13
Gdf6	252834	GDF-6
Gdf6	252834	gdf16
Lgsn	316304	Gluld1
Lgsn	316304	Lgs
		
		
RGD1565131	498143	LOC498143
Zbtb9	294289	3930402F13Rik
Eftud2	287739	LOC287739
		
Hivep2	29721	MIBP-1
Hivep2	29721	MIBP1
		
Bak1	116502	Bak
Bak1	116502	MGC108627
Prr3	361788	Cat56
Prr3	361788	MGC156547
		
Trim10	294210	Rfb30
Trim10	294210	Rnf9
Iars1	306804	Iars
Iars1	306804	LOC306804
		
		
		
Smndc1	287768	LOC287768
Smndc1	287768	MGC112663
Urgcp	305493	LOC498406
Urgcp	305493	RGD1564681
Urgcp	305493	Urg4
Rps19bp1	500907	LOC500907
Rps19bp1	500907	RGD1562823
Ralyl	294883	LOC294883
Ralyl	294883	RGD1305844
		
		
Cacybp	289144	MGC93921
Slc25a5	25176	ANT 2
Slc25a5	25176	Ant2
LOC100912306	100909761	LOC291605
LOC100912306	100909761	Ttid
LOC100909761	100909761	LOC291605
LOC100909761	100909761	Ttid
Myot	100909761	LOC291605
Myot	100909761	Ttid
LOC100912306	100912306	LOC291605
LOC100912306	100912306	Ttid
LOC100909761	100912306	LOC291605
LOC100909761	100912306	Ttid
Myot	100912306	LOC291605
Myot	100912306	Ttid
Ggnbp1	494520	MGC124911
Fibcd1	103690010	LOC100909722
Fibcd1	103690010	LOC311861
Fibcd1	103690010	RGD1309097
Fibcd1	103690010	Fibcd1
Fibcd1l1	103690010	LOC100909722
Fibcd1l1	103690010	LOC311861
Fibcd1l1	103690010	RGD1309097
Fibcd1l1	103690010	Fibcd1
Tcp1	24818	CCTalpha
Tcp1	24818	Tcp-1
		
		
Slc26a7	297910	LOC297910
RGD1564541	313433	LOC313433
Acat2l1	365096	LOC365096
Acat2l1	365096	RGD1562948
		
		
		
LOC102556347	102556347	
Lrrc69	500415	LOC500415
LOC108348130	29224	Cbr
LOC108348130	29224	Cbr 1
LOC108348130	29224	MGC124927
Cbr1	29224	Cbr
Cbr1	29224	Cbr 1
Cbr1	29224	MGC124927
		
		
LOC108348130	100360507	Cbr
LOC108348130	100360507	Cbr 1
LOC108348130	100360507	MGC124927
Cbr1	100360507	Cbr
Cbr1	100360507	Cbr 1
Cbr1	100360507	MGC124927
Pja1	683077	LOC683077
		
Afap1l2	292130	LOC292130
Afap1l2	292130	RGD1310668
Kcna3	29731	KV3
Kcna3	29731	RCK3
Kcna3	29731	RGK5
Tmlhe	170898	MGC94841
Tmlhe	170898	TMLD
Tmlhe	170898	Tmlh
		
Trim15	100910806	LOC100910806
Eif4e2	363275	Eif4el3
Eif4e2	363275	LOC363275
Trim26	309586	Znf173
Ube2a	298317	LOC298317
Imp4	316317	LOC316317
Imp4	316317	LRRGT00017
Imp4	316317	MGC94302
Imp4	316317	RGD1308463
Atl2	298757	Arl6ip2
Atl2	298757	LOC298757
		
Baiap2l1	304282	LOC304282
Baiap2l1	304282	MGC124996
Baiap2l1	304282	RGD1308452
Cacna1i	56827	caVT.3
Cacna1i	56827	LOC497824
Marf1	170946	Lkap
Nudcd3	100125378	MGC125083
Tsr2	108348124	LOC317418
Tsr2	108348124	RGD1562416
NEWGENE_1562416	108348124	LOC317418
NEWGENE_1562416	108348124	RGD1562416
Tsr2	317418	LOC317418
Tsr2	317418	RGD1562416
NEWGENE_1562416	317418	LOC317418
NEWGENE_1562416	317418	RGD1562416
Dnajc3	63880	LOC63880
NEWGENE_735020	108348071	26RFa
NEWGENE_735020	108348071	P518
NEWGENE_735020	108348071	Qrfp
Qrfp	108348071	26RFa
Qrfp	108348071	P518
Qrfp	108348071	Qrfp
NEWGENE_735020	379044	26RFa
NEWGENE_735020	379044	P518
NEWGENE_735020	379044	Qrfp
Qrfp	379044	26RFa
Qrfp	379044	P518
Qrfp	379044	Qrfp
		
Zfp37	115768	LOC102555249
Zfp37	115768	zfp-37
		
Itpr3	25679	insP3R3
Itpr3	25679	IP3R 3
Itpr3	25679	IP3R-3
Itpr3	25679	IP3R3
Itpr3	25679	IP3R3X
		
Glud1	24399	Ac2-281
Glud1	24399	GDH 1
Glud1	24399	Gdh1
Glud1	24399	Glud
Glud1	24399	MGC93608
Glud1	24399	MRG-2
Pgap2	116675	Frag1
Akr1b1	24192	Akr1b3
Akr1b1	24192	Akr1b4
Akr1b1	24192	Aldr1
Akr1b1	24192	Alr
Akr1b1	24192	ALR-P-I
Akr1b1	24192	AR
NEWGENE_1582994	103694000	LOC290879
NEWGENE_1582994	103694000	LOC688913
NEWGENE_1582994	103694000	RGD1311743
NEWGENE_1582994	103694000	Dcun1d2
Dcun1d2	103694000	LOC290879
Dcun1d2	103694000	LOC688913
Dcun1d2	103694000	RGD1311743
Dcun1d2	103694000	Dcun1d2
NEWGENE_1582994	688913	LOC290879
NEWGENE_1582994	688913	LOC688913
NEWGENE_1582994	688913	RGD1311743
NEWGENE_1582994	688913	Dcun1d2
Dcun1d2	688913	LOC290879
Dcun1d2	688913	LOC688913
Dcun1d2	688913	RGD1311743
Dcun1d2	688913	Dcun1d2
		
Ccdc115	363213	LOC363213
Ccdc115	363213	RGD1304653
		
Ppial4d	25518	CYCA
Ppial4d	25518	CyP-A
Ppial4d	25518	MGC72881
Ppial4d	25518	p1B15
Ppial4d	25518	p31
Ppial4d	25518	LOC100360977
Ppia	25518	CYCA
Ppia	25518	CyP-A
Ppia	25518	MGC72881
Ppia	25518	p1B15
Ppia	25518	p31
Ppia	25518	LOC100360977
Kcna2	25468	BK2
Kcna2	25468	NGK1
Kcna2	25468	RAK
Kcna2	25468	RBK2
Kcna2	25468	RCK5
Vta1	292640	Lip5
Vta1	292640	LOC292640
Vta1	292640	MGC112826
Vta1	292640	RGD1305031
		
		
LOC100909750	100909750	Abl
LOC100909750	100909750	Abl1_mapped
Abl1	100909750	Abl
Abl1	100909750	Abl1_mapped
LOC100909750	311860	Abl
LOC100909750	311860	Abl1_mapped
Abl1	311860	Abl
Abl1	311860	Abl1_mapped
		
		
Fam155b	688841	LOC688841
Fam155b	688841	Tmem28l
Rhog	308875	Arhg
Rhog	308875	LOC308875
Rhog	308875	MGC125105
Nkrf	100910054	LOC100910054
		
Itga4	311144	Itga4_mapped
		
		
		
Plch1	310463	LOC310463
Plch1	310463	Plcl3
Plch1	310463	RGD1561991
Slc6a17	613226	Ntt4
Pafah1b1	83572	LIS-1
Pafah1b1	83572	LIS1
		
	501125	
		
Sema4c	301346	LOC301346
Sema4c	301346	RGD1562837
	287522	
Olr1714	294175	Or28
Olr1714	294175	ratchr20-1103100-1102171_ORF
		
Fam25a	684972	LOC684972
		
Enthd1	685900	LOC366961
Enthd1	685900	LOC685900
Enthd1	685900	MGC187523
Enthd1	685900	RGD1565081
Abcf1	85493	Abc50
LOC102550314		
		
Nol8	108348063	LOC361221
NEWGENE_1309551	108348063	LOC361221
Nol8	361221	LOC361221
NEWGENE_1309551	361221	LOC361221
		
		
Efhd1	501181	LOC501181
Efhd1	501181	RGD1559565
Septin6	691335	LOC691335
Septin6	691335	MGC189443
Septin6	691335	Sept6
Adprhl1	290880	LOC290880
		
		
Grtp1	361180	LOC361179
Grtp1	361180	LOC361180
Grtp1	361180	LRRGT00052
Grtp1	361180	MGC116122
	100360601	
Olr1868	408030	MOR250-1
Olr1868	408030	Or29
		
Cbr3	304078	LOC304078
		
Rufy4	301510	LOC301510
Rufy4	301510	RGD1560678
Rabgap1l	304914	LOC304914
Rabgap1l	304914	RGD1304620
RT1-M2	24988	
Wnk3	317420	LOC317420
Wnk3	317420	RGD1563131
Nlgn1	116647	
		
Uqcc2	361805	LOC361805
Uqcc2	361805	M19
Uqcc2	361805	Mnf1
Uqcc2	361805	RGD1306917
		
		
		
		
Mrpl18	292244	LOC292244
Fam160b1	361774	LOC361774
Fam160b1	361774	RGD1306116
		
		
		
		
		
Eda	302424	LOC302424
Eda	302424	RGD1563178
Eda	302424	Tnlg7c
Parn	360464	LOC360464
Parn	360464	RGD1565449
Mapk10	25272	Jnk3
Mapk10	25272	SAPb
Mapk10	25272	SAPKC
Mapk10	25272	Serk2
Ip6k3	688862	Ihpk3
Ip6k3	688862	LOC688862
		
Alx3	365900	
Plek	364206	LOC364206
Plek	364206	MGC112902
Clpsl2	689425	LOC689425
Sowahd	367699	Ankrd58
Sowahd	367699	LOC367699
Sowahd	367699	MGC188007
Sowahd	367699	RGD1563086
Cnrip1	364208	CRIP-1
Cnrip1	364208	Crip1a
Cnrip1	364208	LOC364208
Cnrip1	364208	RGD1308373
Exosc2	366017	LOC366017
		
Clps	25680	COLQ
		
		
Stim1	361618	LOC361618
Tcaf2	100912416	LOC100912372
Tcaf2	100912416	LOC100912416
LOC103694404	103690821	LOC100363391
LOC103694404	103690821	LOC100361880
LOC103692785	103690821	LOC100363391
LOC103692785	103690821	LOC100361880
LOC103694169	103690821	LOC100363391
LOC103694169	103690821	LOC100361880
LOC103693375	103690821	LOC100363391
LOC103693375	103690821	LOC100361880
LOC103690821	103690821	LOC100363391
LOC103690821	103690821	LOC100361880
LOC103692831	103690821	LOC100363391
LOC103692831	103690821	LOC100361880
Rpl39	103690821	LOC100363391
Rpl39	103690821	LOC100361880
LOC103694404	103692785	LOC100363391
LOC103694404	103692785	LOC100361880
LOC103692785	103692785	LOC100363391
LOC103692785	103692785	LOC100361880
LOC103694169	103692785	LOC100363391
LOC103694169	103692785	LOC100361880
LOC103693375	103692785	LOC100363391
LOC103693375	103692785	LOC100361880
LOC103690821	103692785	LOC100363391
LOC103690821	103692785	LOC100361880
LOC103692831	103692785	LOC100363391
LOC103692831	103692785	LOC100361880
Rpl39	103692785	LOC100363391
Rpl39	103692785	LOC100361880
LOC103694404	103692831	LOC100363391
LOC103694404	103692831	LOC100361880
LOC103692785	103692831	LOC100363391
LOC103692785	103692831	LOC100361880
LOC103694169	103692831	LOC100363391
LOC103694169	103692831	LOC100361880
LOC103693375	103692831	LOC100363391
LOC103693375	103692831	LOC100361880
LOC103690821	103692831	LOC100363391
LOC103690821	103692831	LOC100361880
LOC103692831	103692831	LOC100363391
LOC103692831	103692831	LOC100361880
Rpl39	103692831	LOC100363391
Rpl39	103692831	LOC100361880
LOC103694404	103693375	LOC100363391
LOC103694404	103693375	LOC100361880
LOC103692785	103693375	LOC100363391
LOC103692785	103693375	LOC100361880
LOC103694169	103693375	LOC100363391
LOC103694169	103693375	LOC100361880
LOC103693375	103693375	LOC100363391
LOC103693375	103693375	LOC100361880
LOC103690821	103693375	LOC100363391
LOC103690821	103693375	LOC100361880
LOC103692831	103693375	LOC100363391
LOC103692831	103693375	LOC100361880
Rpl39	103693375	LOC100363391
Rpl39	103693375	LOC100361880
LOC103694404	103694169	LOC100363391
LOC103694404	103694169	LOC100361880
LOC103692785	103694169	LOC100363391
LOC103692785	103694169	LOC100361880
LOC103694169	103694169	LOC100363391
LOC103694169	103694169	LOC100361880
LOC103693375	103694169	LOC100363391
LOC103693375	103694169	LOC100361880
LOC103690821	103694169	LOC100363391
LOC103690821	103694169	LOC100361880
LOC103692831	103694169	LOC100363391
LOC103692831	103694169	LOC100361880
Rpl39	103694169	LOC100363391
Rpl39	103694169	LOC100361880
LOC103694404	103694404	LOC100363391
LOC103694404	103694404	LOC100361880
LOC103692785	103694404	LOC100363391
LOC103692785	103694404	LOC100361880
LOC103694169	103694404	LOC100363391
LOC103694169	103694404	LOC100361880
LOC103693375	103694404	LOC100363391
LOC103693375	103694404	LOC100361880
LOC103690821	103694404	LOC100363391
LOC103690821	103694404	LOC100361880
LOC103692831	103694404	LOC100363391
LOC103692831	103694404	LOC100361880
Rpl39	103694404	LOC100363391
Rpl39	103694404	LOC100361880
LOC103694404	25347	LOC100363391
LOC103694404	25347	LOC100361880
LOC103692785	25347	LOC100363391
LOC103692785	25347	LOC100361880
LOC103694169	25347	LOC100363391
LOC103694169	25347	LOC100361880
LOC103693375	25347	LOC100363391
LOC103693375	25347	LOC100361880
LOC103690821	25347	LOC100363391
LOC103690821	25347	LOC100361880
LOC103692831	25347	LOC100363391
LOC103692831	25347	LOC100361880
Rpl39	25347	LOC100363391
Rpl39	25347	LOC100361880
Top2b	361100	LOC361100
Msh2	81709	
Lhfpl5	294303	Tmhs
Ccdc103	498006	LOC498006
Ccdc103	498006	RGD1562370
Cerkl	502640	LOC502640
Cerkl	502640	RGD1561057
		
Srpk1	361811	LOC361811
Srpk1	361811	MGC116186
Kcnj13	94341	Kir7.1
Dpyd	81656	DPD
Gigyf2	100362458	LOC100362458
		
Ldb3	498587	LOC498587
Ldb3	498587	RGD1564875
Ldb3	498587	ZASP
Upf3b	313449	LOC313449
Upf3b	313449	RGD1560264
Slc31a2	298091	LOC298091
Slc31a2	298091	MGC124776
		
		
		
		
		
Aco2	79250	
Fam178b	501125	LOC501125
Fam178b	501125	MGC187539
Fam178b	501125	RGD1564591
		
Rad51d	303375	LOC303375
Rad51d	303375	Rad51l3
		
Cxcr2	29385	Cmkar2
Cxcr2	29385	CXC-R2
Cxcr2	29385	CXCR-2
Cxcr2	29385	IL-8R B
Cxcr2	29385	Il8rb
Slc26a8	309646	LOC309646
Olr1718	405205	Or26
		
FAM187A	287741	LOC287741
FAM187A	287741	RGD1307851
Ube3c	362294	LOC362294
Ube3c	362294	RGD1559986
Ppp1r10	65045	Fb19
Ppp1r10	65045	Pnuts
		
		
Nkap	298342	2610020o08rik
Nmbr		LOC100361806
Nmbr		NMB-R
Otud6a	302426	LOC302426
Otud6a	302426	RGD1560855
Awat2	302425	Dgat2l4
Awat2	302425	LOC302425
Awat2	302425	RGD1565111
Neurod1	29458	BHF-1
Aspn	103690027	LOC306805
Aspn	103690027	Aspn
Aspnl1	103690027	LOC306805
Aspnl1	103690027	Aspn
		
Akap14	60332	LOC60332
Cenpp	679342	LOC679342
Bri3	304284	LOC304284
Bri3	304284	MGC105711
Gfap	24387	
		
Ogn	108348095	LOC291015
Ogn	108348095	Ogn
NEWGENE_1308171	108348095	LOC291015
NEWGENE_1308171	108348095	Ogn
Ogn	291015	LOC291015
Ogn	291015	Ogn
NEWGENE_1308171	291015	LOC291015
NEWGENE_1308171	291015	Ogn
		
Ndufa1	108348144	LOC363441
Ndufa1	108348144	RGD1560955
LOC108348144	108348144	LOC363441
LOC108348144	108348144	RGD1560955
LOC103690116	103690116	OSAD
Omd	103690116	OSAD
LOC103690116	83717	OSAD
Omd	83717	OSAD
		
Hs6st3	364476	LOC306170
Hs6st3	364476	LOC364476
Hs6st3	364476	RGD1560050
		
	100359832	
		
Ecm2	100361383	
LOC100910978	100361383	
		
Cxcr1	54258	CXC-R1
Cxcr1	54258	CXCR-1
Cxcr1	54258	IL-8R A
Cxcr1	54258	Il8ra
	100362724	
		
	317423	
Mcc	307449	LOC307449
Mcc	307449	RGD1561988
Phf20l1	314964	LOC314964
Phf20l1	314964	MGC112686
Mapk14	81649	CRK1
Mapk14	81649	CSBP
Mapk14	81649	Csbp1
Mapk14	81649	Csbp2
Mapk14	81649	CSPB1
Mapk14	81649	Exip
Mapk14	81649	Hog
Mapk14	81649	MAPK 14
Mapk14	81649	MGC105413
Mapk14	81649	Mxi2
Mapk14	81649	p38
Mapk14	81649	p38alpha
Mapk14	81649	p38Hog
Mapk14	81649	Prkm14
Mapk14	81649	Prkm15
Mapk14	81649	RK
Mapk14	81649	Sapk2A
		
		
Mettl16	360568	LOC360568
Mettl16	360568	Mett10d
Epcam	171577	Egp314
Epcam	171577	ep-CAM
Epcam	171577	Tacstd1
Dop1b	304077	Dopey2
Dop1b	304077	LOC304077
Dop1b	304077	RGD1306097
LOC103689977	103689977	CASP-6
LOC103689977	103689977	Mch2
LOC103689977	103689977	MGC93335
Casp6	103689977	CASP-6
Casp6	103689977	Mch2
Casp6	103689977	MGC93335
LOC103689977	83584	CASP-6
LOC103689977	83584	Mch2
LOC103689977	83584	MGC93335
Casp6	83584	CASP-6
Casp6	83584	Mch2
Casp6	83584	MGC93335
Spata16	294932	LOC294932
Spata16	294932	RGD1563726
Cops8	363283	LOC363283
Cops8	363283	SGN8
Rnf113a1	103694508	LOC313450
LOC108348079	103694508	LOC313450
Rnf113a1	108348079	LOC313450
LOC108348079	108348079	LOC313450
Mcub	295462	Ccdc109b
Mcub	295462	LOC295462
Mcub	295462	RGD1305326
Lrrc71	310689	LOC310689
Lrrc71	310689	RGD1309453
Olr1722	406016	
		
		
RGD1560927	103694509	LOC501507
LOC108348152	103694509	LOC501507
RGD1560927	108348152	LOC501507
LOC108348152	108348152	LOC501507
RGD1560927	501507	LOC501507
LOC108348152	501507	LOC501507
Cox5b	94194	
Smlr1	686032	LOC686032
Olr1726	405204	
LOC103689929	313451	LOC313451
Rhox4g	313451	LOC313451
Otud6b	297911	LOC297911
Otud6b	297911	RGD1310024
Prdm12	688699	LOC688699
		
Pnldc1	361478	LOC361478
Pnldc1	361478	MGC116282
Rrm1	685579	LOC685579
Rrm1	685579	MGC94742
		
Dgke	497978	LOC497978
Dgke	497978	MGC124991
		
Rhox3	100190895	
Clvs2		LOC361459
Clvs2		RGD1306801
Clvs2		Rlbp1l2
		
		
Brca2	360254	
		
Mapk13	29513	MGC124619
Mapk13	29513	Prkm13
		
Slc39a7	294281	Ke4
Slc39a7	294281	MGC94153
Slc39a7	294281	RT1-Ke4
Slc39a7	294281	RT1-Ke4_mapped
Slc39a7	294281	Rt1Ke4
Fsip2	680315	LOC499820
Fsip2	680315	LOC680315
Fsip2	680315	LOC680325
Olr1724	294183	
		
Rc3h1	680586	LOC304916
Rc3h1	680586	RGD1563512
		
Mnt	287521	LOC287521
Fndc8	303376	LOC303376
Fndc8	303376	RGD1310708
		
		
Nle1	303372	LOC303372
Nle1	303372	RGD1308301
Bfar	304709	LOC304709
Bfar	304709	RGD1305537
Rhox8	503423	LOC503423
		
Igbp1	58845	
		
Brms1l	299053	LOC299053
